rank,company,return_5y_pct,return_10y_pct,bb_ticker,yf_ticker,idBbCompany
177,Arcadis NV,,,ARCAD NA,ARCAD.AS,154448
178,Straumann Holding AG,,,STMN SW,STMN.SW,328110
179,Sika AG,,,SIKA SW,SIKA.SW,117976
180,Zealand Pharma A/S,,,ZEAL DC,ZEAL.CO,10128160
181,Valmet Corp,,,VALMT FH,VALMT.HE,38326972
182,Skandinaviska Enskilda Banken AB Class A,,,SEB/A SS,SEB-A.ST,116937
183,Azimut Holding Spa,,,AZM IM,AZM.MI,970983
184,IMI plc,,,IMI LN,IMI.L,111769
185,SalMar ASA,,,SALM NO,SALM.OL,10663038
186,Novartis AG,,,NOVN SW,NOVN.SW,180580
187,BNP Paribas S.A. Class A,,,BNP FP,BNP.PA,115245
188,ENGIE S.A.,,,ENGI FP,ENGI.PA,156070
189,Amundi SA,,,AMUN FP,AMUN.PA,17716665
190,Banque Cantonale Vaudoise,,,BCVN SW,BCVN.SW,118520
191,Serco Group plc,,,SRP LN,SRP.L,112244
192,Rentokil Initial plc,,,RTO LN,RTO.L,112171
193,RS Group PLC,,,RS1 LN,RS1.L,111519
194,ORLEN Spolka Akcyjna,,,PKN PW,PKN.WA,823804
195,Powszechny Zaklad Ubezpieczen Spolka Akcyjna,,,PZU PW,PZU.WA,944127
196,Cellnex Telecom S.A.,,,CLNX SM,CLNX.MC,45129498
197,Nokia Oyj,,,NOKIA FH,NOKIA.HE,115790
198,Credit Agricole SA,,,ACA FP,ACA.PA,7365323
199,Nordea Bank Abp,,,NDA/FI FH,NDA-FI.HE,61564243
200,Barclays PLC,,,BARC LN,BARC.L,100169
201,Ackermans & van Haaren NV,,,ACKB BB,ACKB.BR,117002
202,Julius Baer Gruppe AG,,,BAER SW,BAER.SW,17149777
203,Heidelberg Materials AG,,,HEI GR,HEI.DE,117596
204,Orion Oyj Class B,,,ORNBV FH,ORNBV.HE,10159180
205,Endesa S.A.,,,ELE SM,ELE.MC,100517
206,Tenaris S.A.,,,TEN IM,TEN.MI,7912227
207,ageas SA/NV,,,AGS BB,AGS.BR,117012
208,AXA SA,,,CS FP,CS.PA,115239
209,Terna S.p.A.,,,TRN IM,TRN.MI,1422581
210,Man Group PLC,,,EMG LN,EMG.L,63087888
211,Bank of Ireland Group Plc,,,BIRG ID,BIRG.IR,53427397
212,Next plc,,,NXT LN,NXT.L,112011
213,Trelleborg AB Class B,,,TREL/B SS,TREL-B.ST,115783
214,Repsol SA,,,REP SM,REP.MC,101254
215,Societe Generale S.A. Class A,,,GLE FP,GLE.PA,115510
216,Holmen AB Class B,,,HOLM/B SS,HOLM-B.ST,117798
217,Mapfre SA,,,MAP SM,MAP.MC,127079
218,A2A S.p.A.,,,A2A IM,A2A.MI,328069
219,L'Oreal S.A.,,,OR FP,OR.PA,115414
220,Swiss Re AG,,,SREN SW,SREN.SW,25170192
221,Banco de Sabadell SA,,,SAB SM,SAB.MC,233612
222,Valiant Holding AG,,,VATN SW,VATN.SW,221595
223,Mobimo Holding AG,,,MOBN SW,MOBN.SW,7193916
224,PSP Swiss Property AG,,,PSPN SW,PSPN.SW,1087492
225,TotalEnergies SE,,,TTE FP,TTE.PA,101491
226,Smiths Group Plc,,,SMIN LN,SMIN.L,112290
227,IG Group Holdings plc,,,IGG LN,IGG.L,8263079
228,Loomis AB,,,LOOMIS SS,LOOMIS.ST,10500007
229,Swiss Prime Site AG,,,SPSN SW,SPSN.SW,837733
230,Eiffage SA,,,FGR FP,FGR.PA,115379
231,Koninklijke Ahold Delhaize N.V.,,,AD NA,AD.AS,115643
232,Eni S.p.A.,,,ENI IM,ENI.MI,143031
233,Bouygues SA,,,EN FP,EN.PA,115256
234,ABN AMRO Bank N.V. Depositary receipts,,,ABN NA,ABN.AS,17918515
235,Banco Comercial Portugues S.A.,,,BCP PL,BCP.LS,100157
236,Veolia Environnement SA,,,VIE FP,VIE.PA,815394
237,Swedbank AB Class A,,,SWED/A SS,SWED-A.ST,125259
238,Danske Bank A/S,,,DANSKE DC,DANSKE.CO,117432
239,Aena SME SA,,,AENA SM,AENA.MC,27639867
240,Investec plc,,,INVP LN,INVP.L,130374
241,Deutsche Telekom AG,,,DTE GR,DTE.DE,180556
242,Swisscom AG,,,SCMN SW,SCMN.SW,221709
243,Deutsche Bank Aktiengesellschaft,,,DBK GR,DBK.DE,115691
244,Bank Polska Kasa Opieki S.A.,,,PEO PW,PEO.WA,359268
245,Shell Plc,,,SHELL NA,SHELL.AS,9268711
246,Nordex SE,,,NDX1 GR,NDX1.DE,7040671
247,Aviva plc,,,AV LN,AV.L,111398
"248,""Galp Energia, SGPS S.A. Class B"",,,GALP PL,GALP.LS,866606"
"249,""Industria de Diseno Textil, S.A."",,,ITX SM,ITX.MC,233954"
250,ANDRITZ AG,,,ANDR AV,ANDR.VI,997138
251,FLSmidth & Co. A/S,,,FLS DC,FLS.CO,117507
252,SSE PLC,,,SSE LN,SSE.L,112225
253,Aegon Ltd.,,,AGN NA,AGN.AS,100012
254,BP PLC,,,BP LN,BP.L,100228
"255,""MERLIN Properties SOCIMI, S.A."",,,MRL SM,MRL.MC,40858460"
256,Svenska Handelsbanken AB Class A,,,SHB/A SS,SHB-A.ST,116944
257,Elis SA,,,ELIS FP,ELIS.PA,1448212
258,Royal KPN NV,,,KPN NA,KPN.AS,135718
259,Hiscox Ltd,,,HSX LN,HSX.L,156705
