ticker,financial_verdict,composite_financial_score,vol_annual,sharpe_ratio,beta,data_vintage
AMUN.PA,REVIEW_REQUIRED,44.67,0.2597,0.2344,1.3378,2026-05-20
ENX.PA,PASSED,65.58,0.2099,0.4935,0.5931,2026-05-20
FBK.MI,REVIEW_REQUIRED,35.79,0.3046,0.334,1.3765,2026-05-20
ARGX.BR,REVIEW_REQUIRED,50.23,0.3839,0.5136,0.5487,2026-05-20
SPIE.PA,PASSED,61.43,0.2477,0.7164,0.9609,2026-05-20
LIFCO-B.ST,PASSED,43.17,0.3037,0.2914,1.304,2026-05-20
UBSG.SW,REVIEW_REQUIRED,47.24,0.2905,0.6806,1.391,2026-05-20
AENA.MC,PASSED,61.08,0.2298,0.4572,0.7835,2026-05-20
ELIS.PA,PASSED,48.28,0.2736,0.3974,1.1329,2026-05-20
RACE.MI,PASSED,59.34,0.2791,0.3095,1.0708,2026-05-20
CAMX.ST,PASSED,53.49,0.4374,0.3742,0.8735,2026-05-20
BMED.MI,REVIEW_REQUIRED,61.41,0.2562,0.9454,1.2554,2026-05-20
VACN.SW,PASSED,41.41,0.3943,0.4085,1.6103,2026-05-20
IG.MI,REVIEW_REQUIRED,66.89,0.203,0.7195,0.6315,2026-05-20
BAMI.MI,REVIEW_REQUIRED,53.17,0.3375,1.0851,1.3075,2026-05-20
GALE.SW,PASSED,45.46,0.1739,0.3542,0.2988,2026-05-20
UNI.MC,REVIEW_REQUIRED,60.87,0.3214,0.7748,1.0605,2026-05-20
BG.VI,REVIEW_REQUIRED,57.72,0.2881,1.0221,1.1765,2026-05-20
A5G.IR,REVIEW_REQUIRED,54.38,0.3373,0.8541,1.1824,2026-05-20
LPP.WA,PASSED,46.49,0.4871,0.3338,1.1418,2026-05-20
BEZ.L,PASSED,59.13,0.3272,0.8174,0.6913,2026-05-20
AZA.ST,PASSED,39.19,0.3748,0.1624,1.3703,2026-05-20
DPLM.L,PASSED,50.1,0.2941,0.4878,1.1533,2026-05-20
LOTB.BR,PASSED,64.56,0.2697,0.5447,0.5404,2026-05-20
EMG.L,PASSED,47.3,0.2963,0.2597,1.1365,2026-05-20
AAF.L,PASSED,70.95,0.3554,0.7392,0.8811,2026-05-20
MNG.L,PASSED,50.37,0.2509,0.1109,1.0482,2026-05-20
SECT-B.ST,PASSED,59.75,0.381,0.3943,1.0241,2026-05-20
SAVE.ST,PASSED,41.35,0.3538,0.4539,1.3852,2026-05-20
TE.PA,PASSED,62.74,0.3532,0.6211,0.9477,2026-05-20
TCAP.L,PASSED,55.91,0.323,0.1509,0.9204,2026-05-20
BFT.WA,PASSED,73.65,0.3806,0.8,0.6637,2026-05-20
RILBA.CO,REVIEW_REQUIRED,60.46,0.2404,0.6974,0.9865,2026-05-20
SHELL.AS,PASSED,61.58,0.2468,0.7429,0.6317,2026-05-20
