ticker,sector,vol_annual,max_drawdown,sharpe_ratio,beta,beta_band_score,m01_score,m02_score,m03_score,m04_score,composite_financial_score,metric_nan_count,m01_vol_flag,m02_mdd_flag,m03_sharpe_flag,m04_beta_flag,g1_data_sufficiency,g2_margins,g3_cashflow,g4_leverage,g5_investability,gate_verdict,financial_verdict,exclusion_reason,annual_volatility_pct,max_drawdown_pct,beta_vs_benchmark,data_vintage,rf_rate_assumption,benchmark_used
LOGN.SW,Technology,0.3436,-0.6425,-0.1405,1.1611,50.0,28.63070539419087,95.02074688796681,7.468879668049793,50.0,46.47,0.0,ok,soft_flag,hard_exclude,elevated,PASS,PASS,PASS,DATA-INCOMPLETE,PASS,REVIEW_REQUIRED,EXCLUDED_METRIC,M03:sharpe<0,34.36,-64.25,1.1611,2026-05-20,0.025,^STOXX
IAG.L,Industrials,0.3911,-0.5527,0.2931,1.4288,0.0,11.61825726141079,83.40248962655602,27.385892116182575,0.0,35.56,0.0,soft_flag,soft_flag,ok,aggressive,PASS,PASS,DATA-INCOMPLETE,PASS,PASS,REVIEW_REQUIRED,REVIEW_REQUIRED,,39.11,-55.27,1.4288,2026-05-20,0.025,^STOXX
SUN.SW,Industrials,0.3464,-0.5889,0.2365,1.3132,25.0,26.970954356846477,88.38174273858921,21.991701244813278,25.0,43.51,0.0,ok,soft_flag,ok,elevated_high,PASS,PASS,PASS,PASS,PASS,GATE_PASS,PASSED,,34.64,-58.89,1.3132,2026-05-20,0.025,^STOXX
NXT.L,Consumer Discretionary,0.2634,-0.4796,0.2519,0.9354,100.0,65.14522821576764,73.02904564315352,23.651452282157674,100.0,62.03,0.0,ok,soft_flag,ok,target_band,PASS,PASS,PASS,PASS,PASS,GATE_PASS,PASSED,,26.34,-47.96,0.9354,2026-05-20,0.025,^STOXX
INVE-B.ST,Financials,0.207,-0.3057,0.6212,1.1341,50.0,88.79668049792531,24.066390041493776,73.44398340248964,50.0,57.01,0.0,ok,ok,ok,elevated,PASS,PASS,PASS,PASS,PASS,GATE_PASS,PASSED,,20.7,-30.57,1.1341,2026-05-20,0.025,^STOXX
STMMI.MI,Technology,0.3942,-0.6636,0.2718,1.541,0.0,10.78838174273858,96.2655601659751,25.311203319502074,0.0,38.63,0.0,soft_flag,soft_flag,ok,aggressive,PASS,PASS,PASS,PASS,PASS,GATE_PASS,PASSED,,39.42,-66.36,1.541,2026-05-20,0.025,^STOXX
TEL2-B.ST,Communications,0.2672,-0.4037,0.6079,0.432,75.0,64.73029045643153,54.77178423236514,71.78423236514523,75.0,65.91,0.0,ok,ok,ok,defensive,PASS,PASS,PASS,PASS,PASS,GATE_PASS,PASSED,,26.72,-40.37,0.432,2026-05-20,0.025,^STOXX
MKS.L,Consumer Staples,0.3337,-0.6372,0.4029,0.9177,100.0,33.19502074688798,94.19087136929461,43.15352697095436,100.0,67.84,0.0,ok,soft_flag,ok,target_band,PASS,PASS,PASS,PASS,PASS,GATE_PASS,PASSED,,33.37,-63.72,0.9177,2026-05-20,0.025,^STOXX
NWG.L,Financials,0.2998,-0.4312,0.5549,1.234,50.0,46.47302904564315,61.82572614107884,65.14522821576763,50.0,57.39,0.0,ok,ok,ok,elevated,PASS,PASS,DATA-INCOMPLETE,DATA-INCOMPLETE,PASS,REVIEW_REQUIRED,REVIEW_REQUIRED,,29.98,-43.12,1.234,2026-05-20,0.025,^STOXX
SQN.SW,Financials,0.3635,-0.5338,0.5799,1.53,0.0,19.087136929460584,80.08298755186722,68.87966804979253,0.0,48.51,0.0,soft_flag,soft_flag,ok,aggressive,PASS,PASS,PASS,PASS,PASS,GATE_PASS,PASSED,,36.35,-53.38,1.53,2026-05-20,0.025,^STOXX
EBS.VI,Financials,,,,,,,,,,,,,,,,PASS,PASS,FAIL,DATA-INCOMPLETE,PASS,GATE_FAIL,EXCLUDED_GATE,G3:negative_cashflow,,,,2026-05-20,0.025,^STOXX
