ticker,annual_return_pct,annual_volatility_pct,sharpe_ratio,max_drawdown_pct,data_vintage,roe_pct,debt_to_equity,revenue_growth_pct,beta
RXL.PA,20.38,36.88,0.471,-65.28,2026-05-12,10.78,0.945,-0.2,
SAN.MC,18.41,33.17,0.465,-72.65,2026-05-12,12.89,,4.6,
SAND.ST,20.46,27.86,0.627,-39.58,2026-05-12,15.35,0.413,4.7,
SB1NO.OL,23.45,25.28,0.809,-54.34,2026-05-12,11.84,,-5.2,
SBMO.AS,19.42,30.05,0.546,-43.16,2026-05-12,17.98,1.412,19.5,
SCYR.MC,18.75,32.38,0.486,-67.18,2026-05-12,11.3,4.159,5.4,
SEB-A.ST,16.18,23.98,0.55,-40.48,2026-05-12,13.63,,-6.8,
SECT-B.ST,32.4,37.78,0.778,-54.01,2026-05-12,28.72,0.057,5.6,
SIE.DE,17.83,27.56,0.538,-48.67,2026-05-12,12.79,0.784,4.3,
SLHN.SW,18.13,21.2,0.714,-49.94,2026-05-12,16.58,1.986,1.1,
SOBI.ST,18.42,33.71,0.457,-56.58,2026-05-12,2.31,0.472,11.1,
SPIE.PA,16.92,29.93,0.465,-66.93,2026-05-12,8.37,1.396,2.6,
SQN.SW,35.06,36.44,0.88,-53.38,2026-05-12,28.9,0.325,8.8,
SRP.L,14.1,29.22,0.38,-58.35,2026-05-12,16.97,1.041,1.2,
SSAB-B.ST,25.31,38.94,0.573,-66.15,2026-05-12,7.77,0.165,-0.7,
STAN.L,17.48,32.28,0.449,-68.97,2026-05-12,10.11,,8.6,
STB.OL,23.23,26.92,0.752,-53.22,2026-05-12,13.91,1.885,,
SU.PA,20.95,27.18,0.66,-36.94,2026-05-12,15.61,0.814,4.2,
SUBC.OL,24.44,36.47,0.588,-70.34,2026-05-12,10.88,0.192,17.0,
SUN.SW,14.84,32.31,0.367,-65.66,2026-05-12,23.2,0.915,-1.1,
TEL2-B.ST,19.21,25.04,0.648,-40.37,2026-05-12,39.05,1.054,1.3,
TEN.MI,17.26,34.68,0.411,-76.43,2026-05-12,11.62,0.027,6.1,
TLX.DE,19.23,24.7,0.657,-53.74,2026-05-12,19.75,0.396,37.7,
TREL-B.ST,15.28,29.87,0.411,-57.31,2026-05-12,9.46,0.268,-2.9,
TRN.MI,12.82,20.67,0.475,-30.56,2026-05-12,13.34,1.734,9.6,
TSCO.L,9.67,23.44,0.284,-44.54,2026-05-12,15.46,1.316,7.2,
TUB.BR,16.41,26.49,0.506,-38.15,2026-05-12,5.0,,,
UBSG.SW,15.68,28.34,0.447,-61.02,2026-05-12,10.16,,13.8,
UCB.BR,17.28,27.76,0.514,-41.66,2026-05-12,14.91,0.207,26.6,
UCG.MI,25.0,39.77,0.553,-79.52,2026-05-12,16.98,,6.4,
UNI.MI,28.66,31.96,0.803,-59.78,2026-05-12,15.04,0.467,7.2,
VACN.SW,31.58,34.76,0.822,-58.13,2026-05-12,27.7,0.313,4.7,
VOLV-B.ST,20.99,26.53,0.678,-43.81,2026-05-12,16.95,1.35,-9.1,
VZN.SW,14.53,24.75,0.466,-32.9,2026-05-12,21.07,0.609,7.1,
WRT1V.HE,17.69,33.57,0.438,-72.14,2026-05-12,27.26,0.228,-0.3,
ZURN.SW,16.33,19.19,0.694,-39.33,2026-05-12,25.22,0.588,9.5,
