ticker,yf_ticker,company_name,sasb_sector,truvalue_rating,sa_risk,sa_band,iss_descriptor,tri_pass_votes,tri_fail_votes,triangulation_result,stage1_pass,fossil_flag,hard_excluded,watchlist,watchlist_reason,esg_rank,in_house_z,in_house_pct,E_score,S_score,G_score,ESG_score,carbon_intensity,ci_source,data_vintage
8BU,BC.MI,Brunello Cucinelli S.p.A.,Consumer Goods,Average,20.99,Medium,Medium,2,1,PASS,True,False,False,False,,167.0,-0.5022546173474502,26.58227848101265,27.19,53.22,37.32,26.58,0.0,sector_median_imputed,2026-05-20
H11,HLMA.L,Halma plc,Resource Transformation,Average,12.9,Low,Medium,3,0,PASS,True,False,False,False,,57.0,0.2571782936955831,76.37130801687763,61.28,78.67,60.01,76.37,19.57,sector_median_imputed,2026-05-20
48CA,CABK.MC,CaixaBank SA,Financials,Average,9.5,Negligible,Good,3,0,PASS,True,False,False,False,,63.0,0.2439070256904874,73.83966244725738,78.15,64.03,35.75,73.84,0.72,sector_median_imputed,2026-05-20
SVKB,SAND.ST,Sandvik AB,Resource Transformation,Average,24.2,Medium,Good,2,1,PASS,True,False,False,False,,139.0,-0.2472280260139047,39.66244725738397,30.54,81.71,48.36,39.66,4.87,bloomberg_calc,2026-05-20
7CA,CAMX.ST,Camurus,Health Care,Average,19.68,Low,Medium,3,0,PASS,True,False,False,,,,,,0.0,0.0,0.0,0.0,7.99,sector_median_imputed,2026-05-20
1RY,LPP.WA,LPP S.A.,Consumer Goods,Laggard,18.6,Low,Medium,2,1,PASS,True,False,False,True,Truvalue=Laggard,129.0,-0.1977874616619468,43.88185654008439,34.86,67.28,55.18,43.88,0.0,sector_median_imputed,2026-05-20
DIO,CDI.PA,Christian Dior SE,Consumer Goods,Below Average,18.53,Low,Medium,2,1,PASS,True,False,False,True,Truvalue=Below Average,146.0,-0.3065482534085576,35.86497890295359,44.3,60.7,27.4,35.86,0.0,sector_median_imputed,2026-05-20
ENXB,ENX.PA,Euronext NV,Financials,Average,13.1,Low,Medium,3,0,PASS,True,False,False,False,,50.0,0.2692684195295406,79.32489451476793,78.15,31.53,57.65,79.32,0.72,sector_median_imputed,2026-05-20
RAW,RBI.VI,Raiffeisen Bank International AG,Financials,Average,17.1,Low,Medium,3,0,PASS,True,False,False,False,,1.0,0.7890705684910246,100.0,78.15,76.75,100.0,100.0,0.72,sector_median_imputed,2026-05-20
TLX,TLX.DE,Talanx AG,Financials,Average,21.3,Medium,Medium,2,1,PASS,True,False,False,False,,102.0,-0.0174921356025755,57.38396624472573,78.15,56.26,5.9,57.38,0.72,sector_median_imputed,2026-05-20
NDA,NDA.DE,Aurubis AG,Extractives & Minerals Processing,Average,21.8,Medium,Good,2,1,PASS,True,False,False,False,,187.0,-0.69097560146596,17.72151898734177,6.47,36.62,59.96,17.72,2149.74,sector_median_imputed,2026-05-20
XCA,ACA.PA,Credit Agricole SA,Financials,Average,17.67,Low,Medium,3,0,PASS,True,False,False,False,,101.0,-0.0153654063307067,57.80590717299579,78.15,59.37,4.41,57.81,0.72,sector_median_imputed,2026-05-20
ZFIN,ZURN.SW,Zurich Insurance Group Ltd,Financials,Average,14.8,Low,Good,3,0,PASS,True,False,False,False,,9.0,0.4860496112490852,96.62447257383964,78.15,56.96,71.55,96.62,0.72,sector_median_imputed,2026-05-20
AJ3,ANA.MC,Acciona SA,Infrastructure,Average,20.2,Medium,Good,2,1,PASS,True,False,False,False,,91.0,0.0644658119617666,62.0253164556962,75.19,27.05,38.77,62.03,19.57,sector_median_imputed,2026-05-20
DSN,DANSKE.CO,Danske Bank A/S,Financials,Average,17.66,Low,,2,0,PASS,True,False,False,False,,71.0,0.2138414080815073,70.46413502109705,78.15,55.55,36.65,70.46,0.72,sector_median_imputed,2026-05-20
D1NC,DNB.OL,DNB Bank ASA,Financials,Average,16.99,Low,Medium,3,0,PASS,True,False,False,False,,54.0,0.262721862499111,77.63713080168776,78.15,50.18,46.13,77.64,0.72,sector_median_imputed,2026-05-20
DS81,DSV.CO,DSV A/S,Transportation,Average,12.67,Low,,2,0,PASS,True,False,False,False,,125.0,-0.1681374849115849,46.41350210970464,38.59,60.52,56.11,46.41,19.57,sector_median_imputed,2026-05-20
AA9,ALFA.ST,Alfa Laval AB,Resource Transformation,Average,24.2,Medium,Good,2,1,PASS,True,False,False,False,,2.0,0.648460087753851,99.57805907172995,93.01,65.53,60.78,99.58,19.57,sector_median_imputed,2026-05-20
NXS,NEX.PA,Nexans SA,Resource Transformation,Average,22.6,Medium,Good,2,1,PASS,True,False,False,False,,46.0,0.2806228674935787,81.0126582278481,78.15,88.93,26.34,81.01,19.57,sector_median_imputed,2026-05-20
ENI,ENI.MI,Eni S.p.A.,Extractives & Minerals Processing,Average,25.56,Medium,Good,2,1,PASS,False,True,False,,,,,,0.0,0.0,0.0,0.0,502.04,bloomberg_calc,2026-05-20
SOC,SUBC.OL,Subsea 7 S.A.,Extractives & Minerals Processing,Average,18.6,Low,Medium,3,0,PASS,True,False,False,False,,104.0,-0.0317670553101745,55.69620253164557,71.64,39.35,25.61,55.7,53.27,bloomberg_calc,2026-05-20
FTD,TUB.BR,Financiere de Tubize S.A.,Health Care,Average,13.7,Low,Good,3,0,PASS,True,False,False,,,,,,0.0,0.0,0.0,0.0,7.99,sector_median_imputed,2026-05-20
FTK,FTK.DE,flatexDEGIRO,Financials,Average,20.47,Medium,Medium,2,1,PASS,True,False,False,False,,220.0,-1.022032279333028,2.109704641350211,6.47,30.82,19.84,2.11,0.72,sector_median_imputed,2026-05-20
